event,sweep,t0_utc,t0_ms,binance_low,low_qty,seller_aggressor_low_qty,okx_pre_book_ms,okx_pre_best_bid,filled_layers,capital_usd,qty_btc,binance_ladder_entry,delay_ms,okx_book_ms,book_age_ms,sell_vwap_usdt,covered_qty,gross_edge_bp,net_after_32_5bp,net_pnl_usd,ladder_json
2026-07-20,sweep1,2026-07-20T08:37:34.574000+00:00,1784536654574,63100.0,1.96165,1.96165,1784536654574,64004.5,5,10000,0.15750028691041248,63491.94783174005,0,1784536654574,0,64004.5,0.15750028691041248,80.72711355749718,48.22711355749718,48.22711355749718,"[{""offset_bp"":40,""limit_px"":63748.481999999996,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":63620.473,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":63492.464,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63364.455,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":63236.445999999996,""filled_price_through"":true}]"
2026-07-20,sweep1,2026-07-20T08:37:34.574000+00:00,1784536654574,63100.0,1.96165,1.96165,1784536654574,64004.5,5,10000,0.15750028691041248,63491.94783174005,50,1784536654624,0,64004.5,0.15750028691041248,80.72711355749718,48.22711355749718,48.22711355749718,"[{""offset_bp"":40,""limit_px"":63748.481999999996,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":63620.473,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":63492.464,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63364.455,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":63236.445999999996,""filled_price_through"":true}]"
2026-07-20,sweep1,2026-07-20T08:37:34.574000+00:00,1784536654574,63100.0,1.96165,1.96165,1784536654574,64004.5,5,10000,0.15750028691041248,63491.94783174005,100,1784536654674,0,63923.066005559405,0.15750028691041248,67.90123606884136,35.40123606884136,35.40123606884136,"[{""offset_bp"":40,""limit_px"":63748.481999999996,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":63620.473,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":63492.464,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63364.455,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":63236.445999999996,""filled_price_through"":true}]"
2026-07-20,sweep1,2026-07-20T08:37:34.574000+00:00,1784536654574,63100.0,1.96165,1.96165,1784536654574,64004.5,5,10000,0.15750028691041248,63491.94783174005,250,1784536654824,0,63937.90000000001,0.15750028691041248,70.23759444926503,37.73759444926503,37.73759444926503,"[{""offset_bp"":40,""limit_px"":63748.481999999996,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":63620.473,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":63492.464,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63364.455,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":63236.445999999996,""filled_price_through"":true}]"
2026-07-20,sweep1,2026-07-20T08:37:34.574000+00:00,1784536654574,63100.0,1.96165,1.96165,1784536654574,64004.5,5,10000,0.15750028691041248,63491.94783174005,500,1784536655074,0,63929.5,0.15750028691041248,68.91459203921535,36.41459203921535,36.41459203921535,"[{""offset_bp"":40,""limit_px"":63748.481999999996,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":63620.473,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":63492.464,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63364.455,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":63236.445999999996,""filled_price_through"":true}]"
2026-07-20,sweep2,2026-07-20T08:37:55.053000+00:00,1784536675053,63100.0,3.99523,3.99523,1784536675014,63965.8,5,10000,0.15759557628541337,63453.55774383861,0,1784536675014,39,63965.8,0.15759557628541337,80.72711355749496,48.22711355749496,48.22711355749496,"[{""offset_bp"":40,""limit_px"":63709.9368,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":63582.0052,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":63454.0736,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63326.142,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":63198.2104,""filled_price_through"":true}]"
2026-07-20,sweep2,2026-07-20T08:37:55.053000+00:00,1784536675053,63100.0,3.99523,3.99523,1784536675014,63965.8,5,10000,0.15759557628541337,63453.55774383861,50,1784536675094,9,63965.8,0.15759557628541337,80.72711355749496,48.22711355749496,48.22711355749496,"[{""offset_bp"":40,""limit_px"":63709.9368,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":63582.0052,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":63454.0736,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63326.142,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":63198.2104,""filled_price_through"":true}]"
2026-07-20,sweep2,2026-07-20T08:37:55.053000+00:00,1784536675053,63100.0,3.99523,3.99523,1784536675014,63965.8,5,10000,0.15759557628541337,63453.55774383861,100,1784536675144,9,63912.76177727411,0.15759557628541337,72.36852428185392,39.86852428185392,39.86852428185392,"[{""offset_bp"":40,""limit_px"":63709.9368,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":63582.0052,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":63454.0736,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63326.142,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":63198.2104,""filled_price_through"":true}]"
2026-07-20,sweep2,2026-07-20T08:37:55.053000+00:00,1784536675053,63100.0,3.99523,3.99523,1784536675014,63965.8,5,10000,0.15759557628541337,63453.55774383861,250,1784536675294,9,63889.880253434305,0.15759557628541337,68.76249734603101,36.26249734603101,36.26249734603101,"[{""offset_bp"":40,""limit_px"":63709.9368,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":63582.0052,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":63454.0736,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63326.142,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":63198.2104,""filled_price_through"":true}]"
2026-07-20,sweep2,2026-07-20T08:37:55.053000+00:00,1784536675053,63100.0,3.99523,3.99523,1784536675014,63965.8,5,10000,0.15759557628541337,63453.55774383861,500,1784536675544,9,63891.50000000001,0.15759557628541337,69.01776223948941,36.517762239489414,36.517762239489414,"[{""offset_bp"":40,""limit_px"":63709.9368,""filled_price_through"":true},{""offset_bp"":60,""limit_px"":63582.0052,""filled_price_through"":true},{""offset_bp"":80,""limit_px"":63454.0736,""filled_price_through"":true},{""offset_bp"":100,""limit_px"":63326.142,""filled_price_through"":true},{""offset_bp"":120,""limit_px"":63198.2104,""filled_price_through"":true}]"
