rank_1m,event_rank_30m,start_30m_utc,worst_1m_utc,spot_low_1m,index_low_1m,deviation_1m_bp,deviation_30m_bp,potential_layers_proxy,potential_notional_proxy_usd,ladder_bps,status_1m
1,1,2026-07-20 08:30:00,2026-07-20 08:37:00,63100.0,63883.23934783,-122.60482652819759,-122.60482652819759,5,10000,-40/-60/-80/-100/-120,L2_PRIORITY
2,4,2026-02-07 07:30:00,2026-02-07 07:46:00,67300.0,68108.63934783,-118.72786706254578,-42.98562558685104,4,8000,-40/-60/-80/-100/-120,L2_PRIORITY
3,3,2026-07-10 12:00:00,2026-07-10 12:14:00,63999.0,64508.30869565,-78.95241806027076,-52.16655759654243,2,4000,-40/-60/-80/-100/-120,L2_PRIORITY
4,2,2026-02-15 04:00:00,2026-02-15 04:02:00,69459.35,69978.62391304,-74.2046476485858,-71.2627154400991,2,4000,-40/-60/-80/-100/-120,L2_PRIORITY
5,17,2026-08-22 05:00:00,2026-08-22 05:10:00,76618.7,77145.16926957,-68.24397101655944,-22.90621993401465,2,4000,-40/-60/-80/-100/-120,L2_PRIORITY
6,5,2026-06-09 00:00:00,2026-06-09 00:28:00,62457.0,62764.58695652,-49.00644956575273,-42.16533602071304,1,2000,-40/-60/-80/-100/-120,L2_PRIORITY
7,12,2026-02-14 13:00:00,2026-02-14 13:18:00,69064.6,69394.54173913,-47.54577678030114,-29.443689453466646,1,2000,-40/-60/-80/-100/-120,L2_PRIORITY
8,14,2026-02-20 13:30:00,2026-02-20 13:38:00,66400.0,66705.03086957,-45.728315479895976,-26.02353769336041,1,2000,-40/-60/-80/-100/-120,L2_PRIORITY
9,6,2026-05-01 04:00:00,2026-05-01 04:29:00,76653.6,76975.89891304,-41.870107084309716,-41.870107084309716,1,2000,-40/-60/-80/-100/-120,L2_PRIORITY
10,9,2026-02-03 18:00:00,2026-02-03 18:29:00,73801.8,74084.96086957,-38.22109997041356,-34.02309011929283,0,0,-40/-60/-80/-100/-120,TICK_REVIEW
11,7,2026-04-02 08:30:00,2026-04-02 08:59:00,66180.0,66431.84826087,-37.910771333806714,-37.910771333806714,0,0,-40/-60/-80/-100/-120,TICK_REVIEW
12,8,2026-01-31 18:30:00,2026-01-31 18:43:00,75777.77,76058.0157587,-36.846314738093746,-36.50331531999118,0,0,-40/-60/-80/-100/-120,TICK_REVIEW
13,22,2026-02-10 14:30:00,2026-02-10 14:41:00,67800.0,68040.18434783,-35.30036700108652,-20.389245841281323,0,0,-40/-60/-80/-100/-120,TICK_REVIEW
14,18,2026-01-30 01:30:00,2026-01-30 01:42:00,81234.0,81519.9295587,-35.07480443712963,-22.397504491757925,0,0,-40/-60/-80/-100/-120,TICK_REVIEW
15,13,2026-06-15 17:00:00,2026-06-15 17:10:00,66585.26,66797.21956522,-31.731794616548513,-28.837707196813778,0,0,-40/-60/-80/-100/-120,TICK_REVIEW
16,10,2026-06-01 09:30:00,2026-06-01 09:52:00,72600.0,72822.7526087,-30.588325862511702,-30.588325862511702,0,0,-40/-60/-80/-100/-120,TICK_REVIEW
17,11,2026-01-31 17:00:00,2026-01-31 17:12:00,78159.9,78396.85061304,-30.224506620754042,-30.224506620754042,0,0,-40/-60/-80/-100/-120,TICK_REVIEW
18,16,2026-02-07 05:30:00,2026-02-07 05:54:00,69800.0,69991.81130435,-27.40482076052264,-24.381854831850845,0,0,-40/-60/-80/-100/-120,LOW_PRIORITY
19,15,2026-01-19 00:00:00,2026-01-19 00:03:00,91910.2,92142.15306087,-25.173392759421098,-25.173392759421098,0,0,-40/-60/-80/-100/-120,LOW_PRIORITY
20,19,2026-02-15 16:00:00,2026-02-15 16:21:00,68793.26,68954.9826087,-23.453360813348034,-21.911325015014917,0,0,-40/-60/-80/-100/-120,LOW_PRIORITY
21,20,2026-01-20 22:30:00,2026-01-20 22:33:00,87900.0,88082.754775,-20.748076677077343,-20.748076677077343,0,0,-40/-60/-80/-100/-120,LOW_PRIORITY
22,21,2026-03-01 16:30:00,2026-03-01 16:50:00,65730.28,65866.73347826,-20.71660017951782,-20.71660017951782,0,0,-40/-60/-80/-100/-120,LOW_PRIORITY
