binance_low,cross_spot_gap_bp,date,first_layer_limit_px,low_qty,minute_utc,okx_book_ms,okx_pre_best_bid,promote_to_level_a,rank_1m,seller_aggressor_low_qty,source_url,spot_index_1m_bp,status_1m,strict_price_through_40bp,t0_ms
73801.8,-46.01917915379672,2026-02-03,73846.428,0.29373,2026-02-03 18:29:00,1770143385008,74143.0,True,10,0.29373,https://static.okx.com/cdn/okx/match/orderbook/L2/5000lv/daily/20260203/BTC-USDT-L2orderbook-5000lv-2026-02-03.tar.gz,-38.22109997041356,TICK_REVIEW,True,1770143385276
66180.0,-41.92083492580379,2026-04-02,66192.7656,1.87153,2026-04-02 08:59:00,1775120393002,66458.6,True,11,1.87153,https://static.okx.com/cdn/okx/match/orderbook/L2/5000lv/daily/20260402/BTC-USDT-L2orderbook-5000lv-2026-04-02.tar.gz,-37.910771333806714,TICK_REVIEW,True,1775120393787
75777.77,-17.590266534758257,2026-01-31,75607.6548,0.06351,2026-01-31 18:43:00,1769885039006,75911.3,False,12,0.06351,https://static.okx.com/cdn/okx/match/orderbook/L2/5000lv/daily/20260131/BTC-USDT-L2orderbook-5000lv-2026-01-31.tar.gz,-36.846314738093746,TICK_REVIEW,False,1769885039997
67800.0,-37.01586583181316,2026-02-10,67779.6924,3.83441,2026-02-10 14:41:00,1770734517001,68051.9,False,13,3.83441,https://static.okx.com/cdn/okx/match/orderbook/L2/5000lv/daily/20260210/BTC-USDT-L2orderbook-5000lv-2026-02-10.tar.gz,-35.30036700108652,TICK_REVIEW,False,1770734517581
81234.0,-5.782409173115122,2026-01-30,80955.876,7.06367,2026-01-30 01:42:00,1769737379004,81281.0,False,14,7.06367,https://static.okx.com/cdn/okx/match/orderbook/L2/5000lv/daily/20260130/BTC-USDT-L2orderbook-5000lv-2026-01-30.tar.gz,-35.07480443712963,TICK_REVIEW,False,1769737379928
66585.26,-32.445136373163706,2026-06-15,66534.792,0.01218,2026-06-15 17:10:00,1781543451002,66802.0,False,15,0.01218,https://static.okx.com/cdn/okx/match/orderbook/L2/5000lv/daily/20260615/BTC-USDT-L2orderbook-5000lv-2026-06-15.tar.gz,-31.731794616548513,TICK_REVIEW,False,1781543451627
72600.0,-38.36464525052374,2026-06-01,72588.0816,0.85152,2026-06-01 09:52:00,1780307554002,72879.6,False,16,0.85152,https://static.okx.com/cdn/okx/match/orderbook/L2/5000lv/daily/20260601/BTC-USDT-L2orderbook-5000lv-2026-06-01.tar.gz,-30.588325862511702,TICK_REVIEW,False,1780307554352
78159.9,2.546711031481408,2026-01-31,77827.44,0.03343,2026-01-31 17:12:00,1769879549009,78140.0,False,17,0.03343,https://static.okx.com/cdn/okx/match/orderbook/L2/5000lv/daily/20260131/BTC-USDT-L2orderbook-5000lv-2026-01-31.tar.gz,-30.224506620754042,TICK_REVIEW,False,1769879549317
69800.0,-35.63189511431975,2026-02-07,69769.40160000001,4.55859,2026-02-07 05:54:00,1770443693009,70049.6,False,18,4.55859,https://static.okx.com/cdn/okx/match/orderbook/L2/5000lv/daily/20260207/BTC-USDT-L2orderbook-5000lv-2026-02-07.tar.gz,-27.40482076052264,LOW_PRIORITY,False,1770443693920
91910.2,-3.2738635832174623,2026-01-19,91572.53880000001,0.21875999999999998,2026-01-19 00:03:00,1768780990006,91940.3,False,19,0.21875999999999998,https://static.okx.com/cdn/okx/match/orderbook/L2/5000lv/daily/20260119/BTC-USDT-L2orderbook-5000lv-2026-01-19.tar.gz,-25.173392759421098,LOW_PRIORITY,False,1768780990659
68793.26,-30.886990192213748,2026-02-15,68730.3744,0.94571,2026-02-15 16:21:00,1771172516002,69006.4,False,20,0.94571,https://static.okx.com/cdn/okx/match/orderbook/L2/5000lv/daily/20260215/BTC-USDT-L2orderbook-5000lv-2026-02-15.tar.gz,-23.453360813348034,LOW_PRIORITY,False,1771172516500
87900.0,1.365374112507478,2026-01-20,87536.448,2.0504000000000002,2026-01-20 22:33:00,1768948435009,87888.0,False,21,2.0504000000000002,https://static.okx.com/cdn/okx/match/orderbook/L2/5000lv/daily/20260120/BTC-USDT-L2orderbook-5000lv-2026-01-20.tar.gz,-20.748076677077343,LOW_PRIORITY,False,1768948435716
65730.28,-19.0749803738155,2026-03-01,65592.4764,1.7549100000000002,2026-03-01 16:50:00,1772383845009,65855.9,False,22,1.7549100000000002,https://static.okx.com/cdn/okx/match/orderbook/L2/5000lv/daily/20260301/BTC-USDT-L2orderbook-5000lv-2026-03-01.tar.gz,-20.71660017951782,LOW_PRIORITY,False,1772383845166
