start_utc,end_utc,windows,min_deviation_bp,worst_window_utc,spot_low_at_worst,index_low_at_worst,priority,event_rank
2026-07-20 08:30:00,2026-07-20 09:00:00,1,-122.60482652819759,2026-07-20 08:30:00,63100.0,63883.23934783,P0_<=-50bp,1
2026-02-15 04:00:00,2026-02-15 04:30:00,1,-71.2627154400991,2026-02-15 04:00:00,69459.35,69957.88891304,P0_<=-50bp,2
2026-07-10 12:00:00,2026-07-10 12:30:00,1,-52.16655759654243,2026-07-10 12:00:00,63999.0,64334.61152174,P0_<=-50bp,3
2026-02-07 07:30:00,2026-02-07 08:00:00,1,-42.98562558685104,2026-02-07 07:30:00,67300.0,67590.54217391,P1_<=-30bp,4
2026-06-09 00:00:00,2026-06-09 00:30:00,1,-42.16533602071304,2026-06-09 00:00:00,62457.0,62721.46717391,P1_<=-30bp,5
2026-05-01 04:00:00,2026-05-01 04:30:00,1,-41.870107084309716,2026-05-01 04:00:00,76653.6,76975.89891304,P1_<=-30bp,6
2026-04-02 08:30:00,2026-04-02 09:00:00,1,-37.910771333806714,2026-04-02 08:30:00,66180.0,66431.84826087,P1_<=-30bp,7
2026-01-31 18:30:00,2026-01-31 19:00:00,1,-36.50331531999118,2026-01-31 18:30:00,75719.9,75997.31539674,P1_<=-30bp,8
2026-02-03 18:00:00,2026-02-03 18:30:00,1,-34.02309011929283,2026-02-03 18:00:00,73800.0,74051.9476087,P1_<=-30bp,9
2026-06-01 09:30:00,2026-06-01 10:00:00,1,-30.588325862511702,2026-06-01 09:30:00,72600.0,72822.7526087,P1_<=-30bp,10
2026-01-31 17:00:00,2026-01-31 17:30:00,1,-30.224506620754042,2026-01-31 17:00:00,78159.9,78396.85061304,P1_<=-30bp,11
2026-02-14 13:00:00,2026-02-14 13:30:00,1,-29.443689453466646,2026-02-14 13:00:00,69064.6,69268.55217391,P2_-20_to_-30bp,12
2026-06-15 17:00:00,2026-06-15 17:30:00,1,-28.837707196813778,2026-06-15 17:00:00,66585.26,66777.83195652,P2_-20_to_-30bp,13
2026-02-20 13:30:00,2026-02-20 14:00:00,1,-26.02353769336041,2026-02-20 13:30:00,66280.2,66453.13456522,P2_-20_to_-30bp,14
2026-01-19 00:00:00,2026-01-19 00:30:00,1,-25.173392759421098,2026-01-19 00:00:00,91910.2,92142.15306087,P2_-20_to_-30bp,15
2026-02-07 05:30:00,2026-02-07 06:00:00,1,-24.381854831850845,2026-02-07 05:30:00,69800.0,69970.60130435,P2_-20_to_-30bp,16
2026-08-22 05:00:00,2026-08-22 05:30:00,1,-22.90621993401465,2026-08-22 05:00:00,76500.0,76675.63489565,P2_-20_to_-30bp,17
2026-01-30 01:30:00,2026-01-30 02:00:00,1,-22.397504491757925,2026-01-30 01:30:00,81118.0,81300.09191739,P2_-20_to_-30bp,18
2026-02-15 16:00:00,2026-02-15 16:30:00,1,-21.911325015014917,2026-02-15 16:00:00,68658.0,68808.76913043,P2_-20_to_-30bp,19
2026-01-20 22:30:00,2026-01-20 23:00:00,1,-20.748076677077343,2026-01-20 22:30:00,87900.0,88082.754775,P2_-20_to_-30bp,20
2026-03-01 16:30:00,2026-03-01 17:00:00,1,-20.71660017951782,2026-03-01 16:30:00,65730.28,65866.73347826,P2_-20_to_-30bp,21
2026-02-10 14:30:00,2026-02-10 15:00:00,1,-20.389245841281323,2026-02-10 14:30:00,67800.0,67938.52152174,P2_-20_to_-30bp,22
