venue,event,t0_ms,delay_ms,arrival_ms,qty_btc,capital_usd,binance_entry,covered,sell_vwap_native,native_quote,gross_edge_bp_raw_usd_vs_usdt,gross_pnl_raw,residual_after_20bp_raw,first_qualifying_trade_ms,cover_ms,time_to_first_trade_ms,time_to_cover_ms,evidence,used_trade_count
Kraken,sweep1,1771128171025,0,1771128171025,0.14347261,10000,69699.71,True,70019.7,USD,45.909803641936975,45.909803641936975,25.909803641936975,1771128171110,1771128171110,85,85,Level B trade-tape sell executions,5
Kraken,sweep1,1771128171025,50,1771128171075,0.14347261,10000,69699.71,True,70019.7,USD,45.909803641936975,45.909803641936975,25.909803641936975,1771128171110,1771128171110,35,35,Level B trade-tape sell executions,5
Kraken,sweep1,1771128171025,100,1771128171125,0.14347261,10000,69699.71,True,70005.41453780621,USD,43.860230954504416,43.860230954504416,23.860230954504416,1771128171137,1771128171165,12,40,Level B trade-tape sell executions,7
Kraken,sweep1,1771128171025,250,1771128171275,0.14347261,10000,69699.71,True,69955.70000000001,USD,36.727555968310014,36.727555968310014,16.727555968310014,1771128171294,1771128171360,19,85,Level B trade-tape sell executions,3
Kraken,sweep1,1771128171025,500,1771128171525,0.14347261,10000,69699.71,True,69929.74789853615,USD,33.004139979369015,33.004139979369015,13.004139979369015,1771128171557,1771128171605,32,80,Level B trade-tape sell executions,14
Kraken,sweep2,1771128192274,0,1771128192274,0.11469564,8000,69749.82,True,70105.9,USD,51.05102780193383,40.840822241547066,31.051027801933827,1771128192358,1771128192359,84,85,Level B trade-tape sell executions,6
Kraken,sweep2,1771128192274,50,1771128192324,0.11469564,8000,69749.82,True,70105.9,USD,51.05102780193383,40.840822241547066,31.051027801933827,1771128192358,1771128192359,34,35,Level B trade-tape sell executions,6
Kraken,sweep2,1771128192274,100,1771128192374,0.11469564,8000,69749.82,True,70064.41436235937,USD,45.10325078392441,36.08260062713953,25.10325078392441,1771128192423,1771128192424,49,50,Level B trade-tape sell executions,5
Kraken,sweep2,1771128192274,250,1771128192524,0.11469564,8000,69749.82,True,70054.45911258702,USD,43.67597114759869,34.940776918078946,23.675971147598688,1771128192567,1771128239164,43,46640,Level B trade-tape sell executions,21
Kraken,sweep2,1771128192274,500,1771128192774,0.11469564,8000,69749.82,True,70054.17417028233,USD,43.63511909884821,34.908095279078566,23.635119098848207,1771128195194,1771128239164,2420,46390,Level B trade-tape sell executions,18
Kraken,sweep3,1771128275429,0,1771128275429,0.0572656,4000,69849.96,True,69978.8682408811,USD,18.455020000167632,7.382008000067053,-1.5449799998323677,1771128275507,1771128275511,78,82,Level B trade-tape sell executions,8
Kraken,sweep3,1771128275429,50,1771128275479,0.0572656,4000,69849.96,True,69978.8682408811,USD,18.455020000167632,7.382008000067053,-1.5449799998323677,1771128275507,1771128275511,28,32,Level B trade-tape sell executions,8
Kraken,sweep3,1771128275429,100,1771128275529,0.0572656,4000,69849.96,True,69944.82943597902,USD,13.581888376028584,5.432755350411433,-6.418111623971416,1771128275537,1771128275537,8,8,Level B trade-tape sell executions,7
Kraken,sweep3,1771128275429,250,1771128275679,0.0572656,4000,69849.96,True,69953.7782110377,USD,14.86303085036722,5.945212340146888,-5.13696914963278,1771128277026,1771128277026,1347,1347,Level B trade-tape sell executions,5
Kraken,sweep3,1771128275429,500,1771128275929,0.0572656,4000,69849.96,True,69953.7782110377,USD,14.86303085036722,5.945212340146888,-5.13696914963278,1771128277026,1771128277026,1097,1097,Level B trade-tape sell executions,5
Coinbase,sweep1,1771128171025,0,1771128171025,0.14347261,10000,69699.71,True,70021.71468823493,USD,46.19885624128628,46.19885624128628,26.19885624128628,1771128171074,1771128171104,49,79,Level B maker-buy removed / aggressive sell into bid,22
Coinbase,sweep1,1771128171025,50,1771128171075,0.14347261,10000,69699.71,True,70021.01074751625,USD,46.097860022120685,46.097860022120685,26.097860022120685,1771128171102,1771128171104,27,29,Level B maker-buy removed / aggressive sell into bid,22
Coinbase,sweep1,1771128171025,100,1771128171125,0.14347261,10000,69699.71,True,69948.78,USD,35.73472543859868,35.73472543859868,15.73472543859868,1771128171126,1771128171130,1,5,Level B maker-buy removed / aggressive sell into bid,2
Coinbase,sweep1,1771128171025,250,1771128171275,0.14347261,10000,69699.71,True,69923.16160429436,USD,32.05918708906408,32.05918708906408,12.059187089064082,1771128171278,1771128171279,3,4,Level B maker-buy removed / aggressive sell into bid,3
Coinbase,sweep1,1771128171025,500,1771128171525,0.14347261,10000,69699.71,True,70017.80475888324,USD,45.637888433571746,45.637888433571746,25.637888433571746,1771128172190,1771128173532,665,2007,Level B maker-buy removed / aggressive sell into bid,19
Coinbase,sweep2,1771128192274,0,1771128192274,0.11469564,8000,69749.82,True,70114.27620440496,USD,52.25192042143556,41.80153633714844,32.25192042143556,1771128192350,1771128192353,76,79,Level B maker-buy removed / aggressive sell into bid,14
Coinbase,sweep2,1771128192274,50,1771128192324,0.11469564,8000,69749.82,True,70114.27620440496,USD,52.25192042143556,41.80153633714844,32.25192042143556,1771128192350,1771128192353,26,29,Level B maker-buy removed / aggressive sell into bid,14
Coinbase,sweep2,1771128192274,100,1771128192374,0.11469564,8000,69749.82,True,70054.79,USD,43.72341032564453,34.978728260515624,23.72341032564453,1771128192374,1771128192377,0,3,Level B maker-buy removed / aggressive sell into bid,2
Coinbase,sweep2,1771128192274,250,1771128192524,0.11469564,8000,69749.82,True,70062.79923026194,USD,44.87169002901137,35.897352023209095,24.87169002901137,1771128192611,1771128193421,87,897,Level B maker-buy removed / aggressive sell into bid,6
Coinbase,sweep2,1771128192274,500,1771128192774,0.11469564,8000,69749.82,True,70065.16128408542,USD,45.210336612397924,36.168269289918335,25.210336612397924,1771128193421,1771128193421,647,647,Level B maker-buy removed / aggressive sell into bid,3
Coinbase,sweep3,1771128275429,0,1771128275429,0.0572656,4000,69849.96,True,69976.79,USD,18.15749071294892,7.262996285179569,-1.8425092870510795,1771128275498,1771128275498,69,69,Level B maker-buy removed / aggressive sell into bid,1
Coinbase,sweep3,1771128275429,50,1771128275479,0.0572656,4000,69849.96,True,69976.79,USD,18.15749071294892,7.262996285179569,-1.8425092870510795,1771128275498,1771128275498,19,19,Level B maker-buy removed / aggressive sell into bid,1
Coinbase,sweep3,1771128275429,100,1771128275529,0.0572656,4000,69849.96,True,69938.88828476433,USD,12.731329375752498,5.092531750300999,-7.268670624247502,1771128275555,1771128275555,26,26,Level B maker-buy removed / aggressive sell into bid,3
Coinbase,sweep3,1771128275429,250,1771128275679,0.0572656,4000,69849.96,True,69953.63932455085,USD,14.843147304715032,5.937258921886013,-5.156852695284968,1771128276023,1771128276814,344,1135,Level B maker-buy removed / aggressive sell into bid,4
Coinbase,sweep3,1771128275429,500,1771128275929,0.0572656,4000,69849.96,True,69953.63932455085,USD,14.843147304715032,5.937258921886013,-5.156852695284968,1771128276023,1771128276814,94,885,Level B maker-buy removed / aggressive sell into bid,4
