start_utc,end_utc,minutes,max_layers,worst_spot_vs_index_low_bp
2026-02-01 23:27:00,2026-02-01 23:27:00,1,1,-44.18725488653297
2026-02-02 06:09:00,2026-02-02 06:09:00,1,1,-41.67138953014238
2026-02-03 16:34:00,2026-02-03 16:34:00,1,1,-48.648302949365615
2026-02-07 06:08:00,2026-02-07 06:08:00,1,1,-40.13355237548532
2026-02-07 07:46:00,2026-02-07 07:47:00,2,4,-118.72786706254578
2026-02-14 13:18:00,2026-02-14 13:18:00,1,1,-47.54577678030114
2026-02-15 04:02:00,2026-02-15 04:03:00,2,2,-74.2046476485858
2026-02-20 13:38:00,2026-02-20 13:38:00,1,1,-45.728315479895976
2026-02-20 13:55:00,2026-02-20 13:55:00,1,1,-43.27186236850245
2026-04-29 12:14:00,2026-04-29 12:14:00,1,2,-67.33233775129466
2026-05-01 04:29:00,2026-05-01 04:29:00,1,1,-41.870107084309716
2026-05-04 01:56:00,2026-05-04 01:56:00,1,1,-47.459268911217436
2026-06-09 00:28:00,2026-06-09 00:28:00,1,1,-49.00644956575273
2026-07-10 12:14:00,2026-07-10 12:14:00,1,2,-78.95241806027076
2026-07-20 08:36:00,2026-07-20 08:37:00,2,5,-122.60482652819759
2026-08-22 05:10:00,2026-08-22 05:10:00,1,2,-68.24397101655944
