minute_utc,minute_ms,spot_open,spot_low,spot_close,index_low,index_close,spot_vs_index_low_bp,guaranteed_layers,deepest_guaranteed_bp,conservative_capital_usd,conservative_entry,levels_json
2026-02-01 23:27:00,1769988420000,76889.96,76441.18,76767.1,76780.45173913,76787.85521739,-44.18725488653297,1,40,2000,76473.32993217348,"[{""offset_bp"":40,""floor_limit_px"":76473.32993217348}]"
2026-02-02 06:09:00,1770012540000,75523.99,75160.53,75609.17,75475.045,75564.54543478,-41.67138953014238,1,40,2000,75173.14482,"[{""offset_bp"":40,""floor_limit_px"":75173.14482}]"
2026-02-03 16:34:00,1770136440000,76780.39,76400.0,76776.01,76773.49,76773.49,-48.648302949365615,1,40,2000,76466.39604,"[{""offset_bp"":40,""floor_limit_px"":76466.39604}]"
2026-02-07 06:08:00,1770444480000,70300.39,69852.03,70131.28,70133.50065217,70133.72717391,-40.13355237548532,1,40,2000,69852.96664956132,"[{""offset_bp"":40,""floor_limit_px"":69852.96664956132}]"
2026-02-07 07:46:00,1770450360000,68292.49,67300.0,68109.54,68108.63934783,68112.74652174,-118.72786706254578,4,100,8000,67631.53592747886,"[{""offset_bp"":40,""floor_limit_px"":67836.20479043869},{""offset_bp"":60,""floor_limit_px"":67699.98751174302},{""offset_bp"":80,""floor_limit_px"":67563.77023304735},{""offset_bp"":100,""floor_limit_px"":67427.5529543517}]"
2026-02-07 07:47:00,1770450420000,68109.54,67600.19,68013.14,67942.14717391,68008.95521739,-50.330639836079214,1,40,2000,67670.37858521435,"[{""offset_bp"":40,""floor_limit_px"":67670.37858521435}]"
2026-02-14 13:18:00,1771075080000,69526.77,69064.6,69426.79,69394.54173913,69423.74043478,-47.54577678030114,1,40,2000,69116.96357217348,"[{""offset_bp"":40,""floor_limit_px"":69116.96357217348}]"
2026-02-15 04:02:00,1771128120000,69982.69,69459.35,70061.04,69978.62391304,70050.49043478,-74.2046476485858,2,60,4000,69628.66046319951,"[{""offset_bp"":40,""floor_limit_px"":69698.70941738784},{""offset_bp"":60,""floor_limit_px"":69558.75216956176}]"
2026-02-15 04:03:00,1771128180000,70061.04,69573.45,70065.59,70049.16978261,70075.44043478,-67.91226563945708,2,60,4000,69698.85353252129,"[{""offset_bp"":40,""floor_limit_px"":69768.97310347955},{""offset_bp"":60,""floor_limit_px"":69628.87476391434}]"
2026-02-20 13:38:00,1771594680000,66899.99,66400.0,66692.79,66705.03086957,66721.90804348,-45.728315479895976,1,40,2000,66438.21074609172,"[{""offset_bp"":40,""floor_limit_px"":66438.21074609172}]"
2026-02-20 13:55:00,1771595700000,66945.72,66500.0,66779.51,66789.00847826,66792.90369565,-43.27186236850245,1,40,2000,66521.85244434697,"[{""offset_bp"":40,""floor_limit_px"":66521.85244434697}]"
2026-04-29 12:14:00,1777464840000,77483.38,76850.0,77310.12,77370.95673913,77370.95673913,-67.33233775129466,2,60,4000,76984.02419567882,"[{""offset_bp"":40,""floor_limit_px"":77061.47291217347},{""offset_bp"":60,""floor_limit_px"":76906.73099869522}]"
2026-05-01 04:29:00,1777609740000,77017.46,76653.6,77012.35,76975.89891304,77026.215,-41.870107084309716,1,40,2000,76667.99531738785,"[{""offset_bp"":40,""floor_limit_px"":76667.99531738785}]"
2026-05-04 01:56:00,1777859760000,79721.93,78955.14,79358.07,79331.64217391,79353.38152174,-47.459268911217436,1,40,2000,79014.31560521436,"[{""offset_bp"":40,""floor_limit_px"":79014.31560521436}]"
2026-06-09 00:28:00,1780964880000,62853.99,62457.0,62761.29,62764.58695652,62769.02652174,-49.00644956575273,1,40,2000,62513.528608693916,"[{""offset_bp"":40,""floor_limit_px"":62513.528608693916}]"
2026-07-10 12:14:00,1783685640000,64584.95,63999.0,64542.48,64508.30869565,64539.2923913,-78.95241806027076,2,60,4000,64185.7023197007,"[{""offset_bp"":40,""floor_limit_px"":64250.2754608674},{""offset_bp"":60,""floor_limit_px"":64121.2588434761}]"
2026-07-20 08:36:00,1784536560000,64209.31,63777.59,64072.02,64083.95326087,64084.38673913,-47.806548329326624,1,40,2000,63827.61744782652,"[{""offset_bp"":40,""floor_limit_px"":63827.617447826524}]"
2026-07-20 08:37:00,1784536620000,64072.03,63100.0,63886.27,63883.23934783,63883.23934783,-122.60482652819759,5,120,10000,63371.65824270146,"[{""offset_bp"":40,""floor_limit_px"":63627.70639043868},{""offset_bp"":60,""floor_limit_px"":63499.93991174302},{""offset_bp"":80,""floor_limit_px"":63372.17343304736},{""offset_bp"":100,""floor_limit_px"":63244.406954351696},{""offset_bp"":120,""floor_limit_px"":63116.64047565604}]"
2026-08-22 05:10:00,1787375400000,77802.0,76618.7,76742.11,77145.16926957,77179.3874,-68.24397101655944,2,60,4000,76759.36589038871,"[{""offset_bp"":40,""floor_limit_px"":76836.58859249172},{""offset_bp"":60,""floor_limit_px"":76682.29825395258}]"
