bar_open_ms,bar_open_utc,date,prev_completed_5m_index_close,spot_5m_low,potential_layers,potential_capital_usd,tier_prices
1767363300000,2026-01-02T14:15:00+00:00,2026-01-02,89136.04413043,88727.0,1,2000.0,88779.49995391|88601.22786565|88422.95577739|88244.68368913|88066.41160086
1767364200000,2026-01-02T14:30:00+00:00,2026-01-02,88909.595,88459.96,1,2000.0,88553.95662000|88376.13743000|88198.31824000|88020.49905000|87842.67986000
1767366000000,2026-01-02T15:00:00+00:00,2026-01-02,89588.75065217,89207.29,1,2000.0,89230.39564956|89051.21814826|88872.04064695|88692.86314565|88513.68564434
1767372000000,2026-01-02T16:40:00+00:00,2026-01-02,90517.94043478,90050.38,1,2000.0,90155.86867304|89974.83279217|89793.79691130|89612.76103043|89431.72514956
1767626400000,2026-01-05T15:20:00+00:00,2026-01-05,93635.26,93227.5,1,2000.0,93260.71896000|93073.44844000|92886.17792000|92698.90740000|92511.63688000
1767645000000,2026-01-05T20:30:00+00:00,2026-01-05,94743.30282609,94325.99,1,2000.0,94364.32961479|94174.84300913|93985.35640348|93795.86979783|93606.38319218
1767710700000,2026-01-06T14:45:00+00:00,2026-01-06,94109.21695652,93616.06,1,2000.0,93732.78008869|93544.56165478|93356.34322087|93168.12478695|92979.90635304
1767713700000,2026-01-06T15:35:00+00:00,2026-01-06,94039.26282609,93566.65,1,2000.0,93663.10577479|93475.02724913|93286.94872348|93098.87019783|92910.79167218
1767716700000,2026-01-06T16:25:00+00:00,2026-01-06,93234.86608696,92839.22,1,2000.0,92861.92662261|92675.45689044|92488.98715826|92302.51742609|92116.04769392
1767721200000,2026-01-06T17:40:00+00:00,2026-01-06,92588.16065217,92010.03,2,4000.0,92217.80800956|92032.63168826|91847.45536695|91662.27904565|91477.10272434
1767721500000,2026-01-06T17:45:00+00:00,2026-01-06,92218.28282609,91800.0,1,2000.0,91849.40969479|91664.97312913|91480.53656348|91296.09999783|91111.66343218
1767747300000,2026-01-07T00:55:00+00:00,2026-01-07,93011.44521739,92626.31,1,2000.0,92639.39943652|92453.37654609|92267.35365565|92081.33076522|91895.30787478
